SMS,anger,anticipation,disgust,fear,joy,love,neutral,optimism,pessimism,sadness,surprise,trust
Aoa aj tare clas kb ha,0,1,0,0,0,0,0,0,0,0,0,0
Aoa bhai kal koi duty hai apki?,0,1,0,0,0,0,0,0,0,0,0,0
Aoa bhai subha uni kitne baje ain gay?,0,1,0,0,0,0,0,0,0,0,0,0
"Aoa brother,whats ur program?r u coming?",0,1,0,0,0,0,0,0,0,0,0,0
Aoa hru?aj chuti pay hain phir aap?Faiza saima kanwal is asking k un ki numerical analysis ki book ap k pas hai?,0,1,0,0,0,0,0,0,0,0,0,1
Aoa maria bji..apne hostel kb ana hay??,0,1,0,0,0,0,0,0,0,0,0,0
aoa sir mera 2 se 5 exam ha..i cant meet you today...becz ma ne late ana ha,0,1,0,0,0,0,0,0,0,0,0,0
aoa sir when you will be available in new campus?,0,1,0,0,0,0,0,0,0,0,0,0
"aoa sir, meray pas convince ni ha aj...i will come tomoro",0,1,0,0,0,0,0,0,0,0,0,0
"Aoa sir,can i come to your office today? Whats your office num?",0,1,0,0,0,0,0,0,0,0,0,1
"aoa sir,i will come uni at 12,ap free hon gay??",0,1,0,0,0,0,0,0,0,0,0,0
"aoa sir,tuesday ko kis time mil sakty han ap?",0,1,0,0,0,0,0,0,0,0,0,0
Aoa sir.when u will be available in office??,0,1,0,0,0,0,0,0,0,0,0,0
"Aoa where r u? 
 yar pu main visiting pai assembly parana chahte ho? 2 din classes hain",0,1,0,0,0,0,0,0,0,0,0,0
"Aoa, aa rahay aaj raat hardees??",0,1,0,0,0,0,0,0,0,0,0,0
"Aoa, waqas sir ny jo class ma arff file dikhayi the wo forward nahi ke?",0,1,0,0,0,0,0,0,0,0,0,0
Aoa. Apki pay i? Aur ac ka kia bana?,0,1,0,0,0,0,0,0,0,0,0,0
Aoa. Apki pay i? Meri abi tk ni i..,0,1,0,0,0,0,0,0,0,1,0,0
Aoa. Apni attendnc files complete kr len hod bol rha tha k yeh kia hai?,0,1,0,0,0,0,0,0,0,0,0,0
Aoa. Hru? Kia bana kam ka?,0,1,0,0,0,0,0,0,0,0,0,0
Aoa. Masjid bana rha hun agr tameer e masjid me ksi ny participate krna hai to welcome..,0,1,0,0,0,0,0,0,0,0,0,0
Aoa. Mubeen bhai ali kdr h wo bat q ni kr ra uska cel kdr hy ,0,1,0,0,0,0,0,0,0,0,0,0
AoA. Plz anpi daal ya rice k leye bowl ya dish k lay k aana atleast one... coz vu main enough bartan nai hain…,0,1,0,0,0,0,0,0,0,0,0,0
Aoa. Sir agr ap b masjid ki construction me participate krna chahen to welcome..,0,1,0,0,0,0,0,0,0,0,0,0
Aoa. Sir kal ap ayen gy? Ap sy kam ha,0,1,0,0,0,0,0,0,0,0,0,0
Aoa. Sir kal milty hn sections decide krty hn,0,1,0,0,0,0,0,0,0,0,0,0
Aoa. Sir phr kal ki sari classes ma ly lon?,0,1,0,0,0,0,0,0,0,0,0,0
Aoa. Sir Wo aya ha ?,0,1,0,0,0,0,0,0,0,0,0,0
Aoa. Subha apki old campus ma class kitne baje hai?,0,1,0,0,0,0,0,0,0,0,0,0
Aoa. Yr boys waly names to btao achy sy..,0,1,0,0,0,0,0,0,0,0,0,0
Aoa...sir subah 8 bje ha os ki lab 4 main ...plz sir aik bar cnfrm kr li jiay ga bcz mera timetable flat pe hi reh gia....n thnx sir,0,1,0,0,0,0,0,0,0,0,0,1
Aoa...yar i m cmng to lhr tomorrow ,0,1,0,0,0,0,0,1,0,0,0,0
Aoa..aap algo k liy kl ya friday ko time den gy?,0,1,0,0,0,0,0,0,0,0,0,0
Aoa..ambreen here..when you are free for algo plz do inform.,0,1,0,0,0,0,0,0,0,0,0,1
Aoa..may i hav your 5 min before papr?,0,1,0,0,0,0,0,0,0,0,0,1
Aoa.kese ho?Yr tm se teachng ke intrview mein kia pocha tha uol mein?,0,1,0,0,0,0,0,0,0,0,0,0
Ap b keh dena k hec ki team any wali ha so kal hun ni asaken gy,0,1,0,0,0,0,0,0,0,0,0,0
Ap Friday ko Mamo k gher lhr aa jana 9:00 bjy humary mulakat ho gy ager ap k pas time hova to,0,1,0,0,0,0,0,1,0,0,0,0
Ap khud txt kr k.keh dein..koi masla nai hga,0,1,0,0,0,0,0,1,0,0,0,0
Ap ki caste kia hai ?,0,1,0,0,0,0,0,0,0,0,0,0
Ap ki duaein .sir aaj cs dptmnt opn ho ga ya chuti ho gi.kal k news paper pa tu chuti likhi thi punjab me ur aaj 6 seprmbr b ha .koi info ha ap k pass,0,1,0,0,0,0,0,0,0,0,0,1
"Ap ki job kaisi ja rahi ha? 
Do u have any u fone number
If i call u there 
Han jii aie thy nov mai wapis gae hen
Hahaha han ji mil gaya ha gift Alhumdulillah :)",0,1,0,0,0,0,0,0,0,0,0,0
Ap logo ko mehndi PR invite kia hy,0,1,0,0,0,0,0,0,0,0,0,0
Ap logon ny kis din ana ha kya plan ha?,0,1,0,0,0,0,0,0,0,0,0,0
Ap nai ccna start nai kia 10 ku pahli class thi .-n corvit 730 pm ,0,1,0,0,0,0,0,0,0,0,0,0
Ap ne ms lab kb tak ana hai ?,0,1,0,0,0,0,0,0,0,0,0,0
Ap ne uni kb ana hai ?,0,1,0,0,0,0,0,0,0,0,0,0
Ap ne uni kb ana hai.. me apko kisi group me adjust kr don ga.,0,1,0,0,0,0,0,0,0,0,0,0
"Ap ny jaber ko batya hy kam k ya ni.
Jaber b phone ni atend cr rha",0,1,0,0,0,0,0,0,0,0,0,0
"Ap ny kha tha my test k bad free ho.
Test k bad my ap ko time do ga ab to ap free hona ",0,1,0,0,0,0,0,1,0,0,0,1
Ap se net pay bat ho sakti ha jaisy viber ya tango on samart phn?,0,1,0,0,0,0,0,0,0,0,0,0
Ap smjhdar hen ap se req krti hn wapis chaly jaen ghr sulah kr len dno,0,1,0,0,0,0,0,0,0,0,0,0
Apk pas koi chota bag hai?,0,1,0,0,0,0,0,0,0,0,0,0
Apne ghr wapis kis time tk ana h?,0,1,0,0,0,0,0,0,0,0,0,0
apni ap koi 3 imported wishes bayn jo ap pori krna chahta hn hary up now,0,1,0,0,0,0,0,0,0,0,0,0
Application cancel krdein humne nai jana kul,0,1,0,0,0,0,0,0,0,0,0,0
Ar ap sunae dear job kesi chal ri he ? Ar hws eshal ?  ,0,1,0,0,0,0,0,0,0,0,0,0
"as ke origional pic dakhi ha to na ?,",0,1,0,0,0,0,0,0,0,0,0,0
"ASALAMUALAIKUM sir, hope you have got the update regarding the quarterfinal between Pak and Ned.",0,1,0,0,0,0,0,1,0,0,0,0
Asha aur baqi tmharay czns ka kia bana kab tak a rhay hain card aur shadi ,0,1,0,0,0,0,0,0,0,0,0,0
Asignmnt ki last date kia h?or tu nx kr li k nai?or quiz tu nai hua aaj?,0,1,0,1,0,0,0,0,0,0,0,0
"Assalam o Alaikum Sir
I wanted to ask that when should I collect the course outline?",0,1,0,0,0,0,0,0,0,0,0,0
"assignmnts , quizes bht diffclt ha??!",0,1,0,0,0,0,0,0,0,0,0,0
Aur job kb tk continue krni he?,0,1,0,0,0,0,0,0,0,0,0,0
